idAsset,name,initials,institutionName,institutionInitials,city,state,hasSharing,about
32544,3D Life LAB. Impressão de Biomodelos para Educação e Saúde.,3D LIFE LAB,Universidade Federal do Paraná,UFPR,Curitiba,PR,False,"As atividades do laboratório iniciaram em Abril de 2023 a partir da aprovação de um projeto de extensão para a capacitação de professores da rede pública de ensino em impressão 3D de modelos didáticos. Desse modo, destina-se à produção de modelos didáticos por tecnologias de impressão 3D por tecnologias de fusão de filamento e fotopolimerização em cuba. A equipe também tem se dedicado ao desenvolvimento de simuladores para procedimentos cirúrgicos."
21194,Abdus USP,AbdusUSP,Instituto de Física USP,IFUSP,São Paulo,SP,False,"O laboratório é uma extensão do laboratório BINGO e de suas atividades, dentro do âmbito do Radio Telescópio BINGO, que mede as Oscilações de Bárions, Rajadas Rápidas de Rádio e problemas correlatos em Cosmologia e Astrofísica. O projeto é uma colaboração Brasil-China com a inclusão de outros membros menores, e está incluso no acordo Brasil-China assinado em Abril de 2023 pelos presidentes Lula da Silva pelo Brasil e Xi Jinping pela China"
14143,Academia de Musculação,Academia Musculação,Universidade Comunitária da Região de Chapecó - mantida pela Fundação Universitária do Desenvolvimento do Oeste,Unochapecó,Chapecó,SC,False,"São ministradas as disciplina de Atividades de Academia I e II, Bases do Treinamento Esportivo e Fisiologia do Exercício. O espaço da academia também atende público interno da Unochapecó (funcionários e acadêmicos) e público externo."
41860,Acervo da Palavra Altamirense,APA,"Instituto Federal de Educação, Ciência e Tecnologia do Pará",IFPA,Altamira,PA,False,"O Laboratório Acervo da Palavra Altamirense dedica-se ao resgate, preservação, restauração e digitalização de documentos e registros históricos de Altamira e da região do Xingu. Atua na salvaguarda da memória cultural e social, promovendo o acesso público à informação, a valorização da identidade local e a formação de estudantes em pesquisa e preservação documental."
31198,Acervo de Documentação Histórica Musical,ADoHM,Universidade Federal da Bahia,UFBA,Salvador,BA,True,"O Acervo de Documentação Histórica Musical (ADoHM) tem como objetivos a preservação da documentação musical e relativa à música e o tratamento da informação nela contida, com a finalidade de garantir o acesso para fins de pesquisa e, quando legalmente possível, disseminá-la pela internet. Configura um espaço ao mesmo tempo técnico, científico e pedagógico. O seu funcionamento garante a guarda, tratamento e acesso à memória documental musical aos seus cuidados."
16090,"Acervo de Rochas, Minerais e Fósseis",Paleo&RM,Museu Paraense Emílio Goeldi,MPEG,Belém,PA,False,"O acervo de Rochas, Minerais e Fósseis do Museu Emílio Goeldi dispõe de uma coleção diversa de rochas, minerais e fósseis, principalmente da região amazônica. O acervo de fósseis é sub-dividido em quatro sub-coleções: Paleovertebrados, Paleoinvertebrados, Paleobotânica e Microfósseis."
39911,Acervo e Texto,AcTex,Universidade Federal de São Carlos,UFSCAR,São Carlos,SP,False,"O Laboratório busca promover a preservação, digitalização, análise crítica e acesso a acervos textuais através de plataformas abertas para consulta, navegação e reutilização dos materiais catalogados. Cada acervo digitalizado acaba por constituir um corpus de trabalho para diversas modalidades de pesquisa."
32189,Acervo Histórico de Autópsias do Departamento de Patologia da FMUSP,Acervo Patologia,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,HCFMUSP,São Paulo,SP,False,"O Acervo de Autópsias do Departamento de Patologia da FMUSP registra e sistematiza as atividades de autópsia dos pacientes do Hospital das Clinicas desde 1932.
Este acervo contem amostras de doenças infecciosas, neoplásicas, manifestaçoes raras de doenças conhecidas, estando representadas todo o espectro de idades.
Além dos laudos, estão arquivados blocos de tecido parafinado dos casos correspondentes, passíveis de serem reestudados á luz das novas tecnologias de analise tecidual."
31580,Acervo LGBT+ Cintura Fina,Acervo LGBT+,Universidade Federal de Minas Gerais,UFMG,Belo Horizonte,MG,False,"O acervo LGBT+ Cintura Fina congrega reserva técnica de fontes variadas sobre a comunidade LGBT+ e um conjunto de ações de formação, de pesquisa e extensão para preservação da memória e reparação de direitos silenciados."
41521,Acervo Museológico da Física,AMF,Universidade Federal do Pará,UFPA,Belém,PA,False,"O Acervo Museológico da Física (AMF) da Universidade Federal do Pará (UFPA) tem como meta funcionar como um suporte de educação científica e tecnológica informal, reunindo um conjunto de equipamentos históricos pertencentes originalmente à antiga Escola de Engenharia do Pará (1931 - 1970), ao Núcleo de Física e Matemática (NFM) (1961 - 1969) e ao Laboratório de Física da UFPA (1971 - atual)."
31840,ACERVO PIAUÍ,APIBC,Universidade Federal do Piauí,UFPI,Teresina,PI,False,"O acervo Piauí,, possui um notório valor histórico e cultural perante o público, e conta com um considerável volume de publicações, que apresenta um panorama do estado do Piauí em todos os seus aspectos: literatura, história, cultura, arte, ciências, etc. A coleção possui atualmente 2.241 títulos e 6.516 exemplares, dividida entre livros, periódicos, obras de referência, dentre outros, cujas obras tenham como tema o estado do Piauí."
14084,ACIN Jornalismo,Acin Jornalismo,Universidade Comunitária da Região de Chapecó - mantida pela Fundação Universitária do Desenvolvimento do Oeste,Unochapecó,Chapecó,SC,False,"""A Agência de Comunicação integrada – ACIN Jornalismo é um laboratório e campo de estágio do curso de Jornalismo, no qual são desenvolvidos trabalhos semelhantes aos desenvolvidos pelas agências do mercado."""
